human_time,epoch_time,web_cpu,mongo-db_cpu,nginx_cpu,mosquitto_cpu,web_ram,mongo-db_ram,nginx_ram,mosquitto_ram,host_cpu,host_ram
05:15.4,1682291115,162.11,17.98,0.79,0.1,0.61,0.552,0.0031,0.0013,92.1,1.5
06:32.9,1682291192,109.95,2.16,0.05,0.3,0.55,0.552,0.0031,0.0013,91.6,1.4
07:50.4,1682291270,54.47,3.46,0.7,0.28,0.59,0.552,0.0031,0.0013,94.6,1.5
09:07.9,1682291347,34.05,2.29,0.58,0.1,0.59,0.551,0.0032,0.0013,100,1.4
10:25.4,1682291425,66.35,3.1,0.38,0.16,0.55,0.551,0.0031,0.0013,97.2,1.5
11:43.1,1682291503,162.44,3.49,0.7,0.09,0.6,0.552,0.0031,0.0013,91.7,1.5
13:00.5,1682291580,57.43,2.13,0.7,0.15,0.55,0.552,0.0031,0.0013,91.6,1.4
14:18.0,1682291658,61.7,2.58,0.32,0.09,0.59,0.552,0.0031,0.0013,94.5,1.5
15:35.5,1682291735,62.81,2,0.08,0.09,0.59,0.552,0.0031,0.0013,93.3,1.4
16:53.0,1682291813,152.96,3.05,0.61,0.3,0.54,0.552,0.0031,0.0013,97.3,1.5
18:10.7,1682291890,166.88,2.77,0.74,0.11,0.6,0.552,0.0031,0.0013,93,1.5
19:28.2,1682291968,25.61,2.3,0.55,0.15,0.54,0.552,0.0033,0.0013,98.6,1.4
20:45.7,1682292045,226.76,2.08,0.04,0.16,0.6,0.553,0.0031,0.0013,87.7,1.5
22:03.2,1682292123,160.47,2.55,0.59,0.3,0.6,0.553,0.0032,0.0013,94.5,1.4
23:20.8,1682292200,252.24,2.64,0.73,0.19,0.54,0.553,0.0032,0.0013,85.9,1.5
24:38.5,1682292278,118.62,2.51,0.73,0.13,0.61,0.552,0.0031,0.0013,96,1.5
25:56.1,1682292356,61.98,2.57,1.24,0.47,0.53,0.553,0.0032,0.0013,93.2,1.4
27:13.7,1682292433,55.66,2.71,0.78,0.41,0.59,0.553,0.0031,0.0013,95.8,1.5
28:31.2,1682292511,119.54,1.88,0.76,0.11,0.59,0.553,0.0031,0.0013,97.2,1.5
29:48.9,1682292588,182.91,2.26,0.77,0.1,0.54,0.553,0.0031,0.0013,93.2,1.4
31:06.5,1682292666,63.44,2.83,0.04,0.1,0.61,0.553,0.0031,0.0013,97.1,1.5
32:24.1,1682292744,63.88,2.27,0.75,0.16,0.55,0.553,0.0031,0.0013,84.2,1.4
33:41.6,1682292821,57.15,2.2,0.7,0.33,0.61,0.553,0.0031,0.0013,94.6,1.5
34:59.1,1682292899,48.18,2.24,0.1,0.1,0.61,0.553,0.0031,0.0013,93.3,1.5
36:16.8,1682292976,191.33,2.72,0.76,0.1,0.56,0.553,0.0031,0.0013,92.8,1.4
37:34.4,1682293054,55.19,2.56,0.7,0.73,0.62,0.553,0.0032,0.0013,95.7,1.5
38:51.9,1682293131,59.32,1.83,0.69,0.09,0.55,0.553,0.0031,0.0013,93,1.4
40:09.4,1682293209,28.73,4.29,0.61,0.1,0.6,0.554,0.0031,0.0013,91.3,1.5
41:26.9,1682293286,48.39,1.86,0.04,0.08,0.6,0.554,0.0031,0.0013,97.1,1.5
42:44.5,1682293364,160.93,2.2,0.71,0.14,0.55,0.554,0.0031,0.0013,92.9,1.4
44:02.1,1682293442,99.64,1.82,0.61,0.16,0.6,0.554,0.0031,0.0013,95.7,1.5
45:19.6,1682293519,18.08,4.15,0.52,0.08,0.54,0.554,0.0032,0.0013,98.6,1.4
46:37.1,1682293597,39.55,2.93,0.11,0.09,0.6,0.554,0.0031,0.0013,91.1,1.5
47:54.6,1682293674,51.09,2.92,0.15,0.37,0.59,0.554,0.0032,0.0013,97.3,1.5
49:12.2,1682293752,165.89,2.29,0.69,0.14,0.55,0.554,0.0031,0.0013,93,1.4
50:29.8,1682293829,125.86,3.42,0.54,0.08,0.61,0.555,0.0031,0.0013,93.7,1.5
51:47.2,1682293907,64.4,2.22,0.05,0.08,0.54,0.554,0.0031,0.0013,95.9,1.4
53:04.7,1682293984,61.57,2.03,0.27,0.2,0.6,0.554,0.0031,0.0013,97.3,1.5
54:22.2,1682294062,60.45,2.1,0.62,0.09,0.6,0.555,0.0031,0.0013,94.6,1.5
55:39.8,1682294139,157.53,5.27,0.39,0.1,0.54,0.555,0.0032,0.0013,94.4,1.4
56:57.3,1682294217,119.51,2.18,0.26,0.12,0.61,0.554,0.0031,0.0013,94.3,1.5
58:14.8,1682294294,68.62,2.69,0.61,0.34,0.54,0.555,0.0033,0.0013,96,1.4
59:32.3,1682294372,32.84,2.31,0.56,0.11,0.6,0.555,0.0031,0.0013,92.9,1.5
00:49.8,1682294449,147.46,5.66,0.55,0.09,0.6,0.555,0.0031,0.0013,96,1.5
02:07.4,1682294527,161.79,2.12,0.47,0.1,0.55,0.555,0.0031,0.0013,90.6,1.4
03:24.9,1682294604,45.82,1.85,0.68,0.16,0.61,0.555,0.0032,0.0013,91.6,1.5
04:42.4,1682294682,70.62,2.91,0.44,0.07,0.54,0.555,0.0031,0.0013,95.9,1.4
05:59.9,1682294759,64.43,4.24,0.04,0.08,0.6,0.555,0.0031,0.0013,93.4,1.5
07:17.5,1682294837,153.72,1.85,0.61,0.19,0.6,0.555,0.0031,0.0013,95.8,1.5
08:35.1,1682294915,129.18,1.87,0.7,0.14,0.55,0.555,0.0031,0.0013,90.2,1.4
09:51.6,1682294991,63.09,2.02,0.04,0.13,0.59,0.555,0.0031,0.0013,95.9,1.5
11:09.1,1682295069,62.51,2.47,0.6,0.08,0.54,0.556,0.0031,0.0013,92,1.4
12:26.5,1682295146,57.97,1.76,0.73,0.09,0.6,0.556,0.0031,0.0013,94.3,1.5
13:44.1,1682295224,141.4,4.29,0.84,0.1,0.6,0.556,0.0031,0.0013,95.9,1.5
15:01.6,1682295301,138.46,2.17,0.67,0.16,0.55,0.556,0.0031,0.0013,91.4,1.4
16:19.2,1682295379,19.37,5.19,1.2,0.36,0.61,0.556,0.0031,0.0013,97.2,1.5
17:36.6,1682295456,66.62,1.73,0.6,0.41,0.54,0.556,0.0031,0.0013,94.6,1.4
18:54.1,1682295534,49.36,1.67,0.62,0.14,0.59,0.556,0.0031,0.0013,95.7,1.5
20:11.6,1682295611,128.36,3.1,0.68,0.23,0.59,0.557,0.0031,0.0013,95.8,1.5
21:29.2,1682295689,62.49,1.61,0.7,0.09,0.55,0.557,0.0031,0.0013,93.1,1.4
22:46.8,1682295766,44.45,1.88,0.63,0.12,0.59,0.557,0.0031,0.0013,86.6,1.5
24:04.2,1682295844,26.07,2.34,0.52,0.08,0.54,0.557,0.0031,0.0013,97.2,1.4
25:21.7,1682295921,47.53,2.2,0.04,0.08,0.6,0.557,0.0031,0.0013,98.6,1.5
26:39.2,1682295999,179.55,4.98,0.16,0.36,0.6,0.557,0.0031,0.0013,93.3,1.5
27:56.8,1682296076,63.06,2.62,0.62,0.36,0.55,0.556,0.0031,0.0013,98.6,1.4
29:14.3,1682296154,70.08,2.18,0.56,0.08,0.6,0.556,0.0032,0.0013,84.8,1.5
30:31.8,1682296231,57.25,2.04,0.05,0.09,0.54,0.556,0.0031,0.0013,97.2,1.4
